ACCT_MODULE_VERSION,FILE_GROUP,ESTIMATED_FAMILY_MODULE,ESTIMATED_FAMILY_SPEND_RANGE,SRC_ROW_CNT,FAMILY_ID,FAMILY_ID_REGION,SV_ROOT_ACCOUNT,CSG_ACCOUNT,BILLING_ZIP_MAX,ATHENA_SEGMENTS,ATHENA_LEGAL_NAME1,SV_BUSN_NAME_MAX,CSG_BUSN_NAME_MAX,FAMILY_SPEND_EST_FOR_EVAL,ATHENA_FAMILY_TELCO_SPEND,CSG_AND_SV_TOTAL_MRC,TOTAL_LOC_CNT,SV_SITE_CNT,CSG_SITE_CNT,SV_EXCL_IND_CNT,CSG_EXCL_IND_CNT,SFDC_NAT_IND_CNT,SFDC_NAT_SP_IND_CNT,COAX_GREENISH_CNT,FIBER_GREENISH_CNT,COAX_YELLOW_CNT,FIBER_YELLOW_CNT,SV_ROOT_ACCOUNT_CNT,SV_ACCOUNT_CNT,SV_AAN_CNT,CSG_WD_SITE_CNT,CSG_ACCOUNT_CNT,SV_WD_SITE_CNT,CSG_REGIONS_CNT,SV_METROE_IND,SV_AV_IND,CSG_VOICE_IND,CSG_DATA_IND,CSG_VIDEO_IND,CSG_WIFIPRO_IND,CSG_CONNPRO_IND,CSG_TW_IND,CSG_TOTAL_MRC,SV_TOTAL_MRC,CSG_VOICE_MRC,CSG_DATA_MRC,CSG_VIDEO_MRC,CSG_CONNPRO_MRC,CSG_WIFIPRO_MRC,CSG_SECEDGE_MRC,SV_MRC_METROE,SV_MRC_AV_TOTAL,SV_MRCsubset_AV_PRI,SV_MRCsubset_AV_SIP,SV_MRCsubset_AV_BVE,ATHENA_EST_EMP_CNT,CSG_TENURE_MNTHS,HBB_IND,HSPY_IND,NAT_IND,GOV_IND,AGGR_IND,MES_IND,EDU_IND,CAR_IND,TWKR_IND,CBH_IND,PARENT_ID_MAX,SFDC_ACCOUNT_MAX,AM_MODULE_MAX,OWNER_ID_MAX,CAGE_NUMBER_MAX
IN PREVIOUS,CSG,CENTER,400 TO 500,1,194913,HOUSTON,NULL,8777703194465327,77036,SMB:1  MID:0  NAT:0  UNKN:0,HARTMAN INCOME REIT REGE,NULL,"#,HARTMAN INCOME REIT REGE",411.83,411.83,129.50,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,129.500,0.000000,43.40,59.90,26.20,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,7,35,0,0,0,0,0,0,0,0,0,0,NULL,0011200001Ma6DUAAZ,NULL,00512000006Hf6iAAC,NULL
IN PREVIOUS,CSG,CENTER,300 TO 400,1,168528,CALIFORNIA,NULL,8155600130181012,NULL,SMB:1  MID:0  NAT:0  UNKN:0,ROTTENBERG,NULL,"LLC,ROTTENBERG",360.00,360.00,88.40,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,88.400,0.000000,0.00,88.40,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,6,66,0,0,0,0,0,0,0,0,0,0,NULL,0011200001CtMmcAAF,NULL,005A0000003QNwIIAW,NULL
IN PREVIOUS,CSG,CENTER,200 TO 250,1,383593,HOUSTON,NULL,8777701240468980,77396,SMB:1  MID:0  NAT:0  UNKN:0,ISO MOVED EASY TRANSPORT,NULL,"TRANSPORT,ISO MOVED EASY",219.17,219.17,189.55,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,189.550,0.000000,63.40,99.95,26.20,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,2,36,0,0,0,0,0,0,0,0,0,0,NULL,0011200001MhVbpAAF,NULL,00512000006vKyFAAU,NULL
IN PREVIOUS,CSG,CENTER,400 TO 500,2,309285,HOUSTON,NULL,8777701820696992,77554,SMB:2  MID:0  NAT:0  UNKN:0,JAKE VILLA INC,NULL,"INC,JAKE VILLA",437.41,437.41,311.65,2,0,2,0,0,0,0,0,2,2,0,0,0,0,2,2,0,1,0,0,1,2,0,0,0,0,311.650,0.000000,93.30,218.35,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,4,112,0,0,0,0,0,0,0,0,0,0,NULL,001A000000toV9FIAU,NULL,005A0000002Dxz8IAC,NULL
IN PREVIOUS,CSG,CENTER,300 TO 400,1,271914,CALIFORNIA,NULL,8155700061330354,93454,SMB:1  MID:0  NAT:0  UNKN:0,ISAI SANCHEZ,NULL,"SANCHEZ,ISAI",339.58,339.58,29.95,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,29.950,0.000000,0.00,29.95,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,2,23,0,0,0,0,0,0,0,0,0,0,NULL,0011H00001SIkCVQA1,NULL,005A0000003Q3mPIAS,NULL
IN PREVIOUS,CSG,AM1,500 TO 750,1,222921,SEATTLE,NULL,8498300050315700,98230,SMB:1  MID:0  NAT:0  UNKN:0,SMITH & PARTNERS LLC,NULL,"PARTNERS LLC,SMITH &",575.50,575.50,260.90,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,260.900,0.000000,71.29,132.06,57.55,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,10,51,0,0,0,0,0,0,0,0,0,0,NULL,0011200001GA7klAAD,Seattle AM 1,005A0000002EVTjIAO,NULL
IN PREVIOUS,CSG,AM1,500 TO 750,1,144594,PORTLAND,NULL,8778104030604709,97232,SMB:1  MID:0  NAT:0  UNKN:0,HERE NOW CREATIVE NETWORK,NULL,"NETWORK,HERE NOW CREATIVE",696.75,696.75,537.80,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,537.800,0.000000,58.40,374.90,104.50,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,7,78,0,0,0,0,0,0,0,0,0,0,NULL,001A0000014x5iBIAQ,NULL,005A0000003QzIFIA0,NULL
IN PREVIOUS,CSG,CENTER,300 TO 400,1,446738,SEATTLE,NULL,8498330061994631,98052,SMB:1  MID:0  NAT:0  UNKN:0,SOULFOOD BOOKS,NULL,"FAIR,SOULFOOD COFFEEHOUSE",383.20,275.42,383.20,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,383.200,0.000000,133.25,249.95,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,4,38,0,0,0,0,0,0,0,0,0,0,NULL,0011200001IJTKqAAP,NULL,00512000005ihi9AAA,NULL
IN PREVIOUS,CSG,CENTER,400 TO 500,1,181577,MOUNTAIN WEST,NULL,8495444731056532,84088,SMB:1  MID:0  NAT:0  UNKN:0,ROB JACKSON INSURANCE AGENCY,NULL,"INS,ROB JACKSON",455.25,455.25,340.65,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,340.650,0.000000,203.10,99.95,37.60,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,3,93,0,0,0,0,0,0,0,0,0,0,NULL,0011H0000257LCWQA2,NULL,0051H0000098w6AQAQ,NULL
IN PREVIOUS,CSG,CENTER,400 TO 500,1,184409,SEATTLE,NULL,8498380041677004,98516,SMB:1  MID:0  NAT:0  UNKN:0,ARTIZEN,NULL,"CO,ARTIZEN",403.19,362.92,403.19,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,403.190,0.000000,66.85,336.34,0.00,39.95,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,6,67,0,0,0,0,0,0,0,0,0,0,NULL,0011H000022ophXQAQ,NULL,0051H000008FDyvQAG,NULL
IN PREVIOUS,CSG,CENTER,300 TO 400,1,284658,HOUSTON,NULL,8777703192846288,77024,SMB:1  MID:0  NAT:0  UNKN:0,ERM GUEST HSI - 2ND HSI,NULL,"GUEST HSI - 2ND HSI,ERM",322.75,322.75,217.45,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,217.450,0.000000,0.00,113.35,104.10,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,2,84,0,0,0,0,0,0,0,0,0,0,NULL,001A0000011F6vQIAS,NULL,005A0000003QJaNIAW,NULL
CURRENT,CSG,CENTER,250 TO 300,1,567547,MOUNTAIN WEST,NULL,8495441030397971,84032,SMB:0  MID:0  NAT:0  UNKN:1,NULL,NULL,"LIGHTING,CIANA",258.20,NULL,258.20,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,258.200,0.000000,53.35,204.85,0.00,39.95,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,2,2,0,0,0,0,0,0,0,0,0,0,NULL,0011H00001tNm2gQAC,NULL,005A0000002Dy3CIAS,NULL
IN PREVIOUS,CSG,AM1,750 TO 1000,1,354335,SEATTLE,NULL,8498320074175161,98115,SMB:1  MID:0  NAT:0  UNKN:0,WASHINGTON NATIVE PLANT SOC,NULL,"NATIVE PLANT,WASHINGTON",886.50,886.50,163.30,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,163.300,0.000000,73.35,89.95,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,6,81,0,0,0,0,0,0,0,0,0,0,NULL,001A0000011rRqYIAU,NULL,005A0000003QTxqIAG,NULL
IN PREVIOUS,CSG,CENTER,250 TO 300,1,208827,PORTLAND,NULL,8778102114289140,97205,SMB:1  MID:0  NAT:0  UNKN:0,NONPROFIT TECHNOLOGY NETWORK,NULL,"NTEN,CO",288.35,101.33,288.35,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,288.350,0.000000,0.00,288.35,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,2,52,0,0,0,0,0,0,0,0,0,0,NULL,0011200001G8mgMAAR,NULL,005A0000002Dy4mIAC,NULL
IN PREVIOUS,CSG,CENTER,400 TO 500,1,211583,CALIFORNIA,NULL,8155600741723145,95350,SMB:1  MID:0  NAT:0  UNKN:0,ARIBA HEALTH CARE GROUP,NULL,"GRP,ARIBA HEALTH CARE",475.17,475.17,304.70,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,304.700,0.000000,168.25,109.95,26.50,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,3,68,0,0,0,0,0,0,0,0,0,0,NULL,001A000001C9RULIA3,NULL,005A0000004OSuPIAW,NULL
IN PREVIOUS,SV&CSG,EXCLD,100 OR LESS,14,16371,FREEDOM,903357055,8777703150932054,95630,SMB:6  MID:7  NAT:0  UNKN:0,PEI/GENESIS INC,PEI Genesis - National,"PEI,GENESIS",0.00,0.00,0.00,13,13,5,13,0,12,0,13,13,13,13,1,7,5,3,5,5,4,8,0,0,5,0,0,0,0,0.000,144.850000,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,356,91,0,0,13,0,0,0,0,0,0,0,001A0000014a1VBIAY,001A0000014a1VTIAY,NULL,005A0000003QnbyIAC,NULL
IN PREVIOUS,CSG,CENTER,200 TO 250,1,531199,HOUSTON,NULL,8777703151288118,77339,SMB:1  MID:0  NAT:0  UNKN:0,SHANNON JASINSKI AGENCY LLC,NULL,"FARMERS,SHANNON JASINSKI",212.15,0.00,212.15,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,212.150,0.000000,108.20,79.95,24.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,7,26,0,0,0,0,0,0,0,0,0,0,NULL,0011H00001SOqMqQAL,NULL,00512000006ICRKAA4,NULL
IN PREVIOUS,CSG,CENTER,100 TO 200,1,536401,MOUNTAIN WEST,NULL,8497404760694544,80111,SMB:1  MID:0  NAT:0  UNKN:0,ENQUIRE SOLUTIONS 2ND ACCT,NULL,"SOLUTIONS 2ND ACCT,ENQUIRE",125.70,0.00,125.70,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,125.700,0.000000,0.00,0.00,125.70,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,2,13,0,0,0,0,0,0,0,0,0,0,NULL,0011H00001pHRqqQAG,NULL,00512000006HMXzAAO,NULL
IN PREVIOUS,CSG,CENTER,200 TO 250,1,163710,MOUNTAIN WEST,NULL,8497950055843725,87112,SMB:1  MID:0  NAT:0  UNKN:0,GLORYBOUND MINISTRIES INC,NULL,"MINISTRIES CEN,GLORY BOUND",233.35,149.58,233.35,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,233.350,0.000000,43.40,189.95,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,6,39,0,0,0,0,0,0,0,0,0,0,NULL,0011200001LsDEUAA3,NULL,00512000006fHNJAA2,NULL
IN PREVIOUS,CSG,CENTER,400 TO 500,1,419389,SEATTLE,NULL,8498330082495212,98005,SMB:1  MID:0  NAT:0  UNKN:0,SMALL TALK PEDIATRIC THERAPY,NULL,"TALK,SMALL",472.00,472.00,173.25,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,173.250,0.000000,58.35,114.90,0.00,39.95,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,2,16,0,0,0,0,0,0,0,0,0,0,NULL,0011H00001moAOeQAM,NULL,0051H000007w5A1QAI,NULL
IN PREVIOUS,CSG,CENTER,400 TO 500,1,398386,SEATTLE,NULL,8498350112527263,98499,SMB:1  MID:0  NAT:0  UNKN:0,BROOKE SMITH,NULL,"SMITH,BROOKE",456.58,456.58,153.70,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,153.700,0.000000,68.35,49.95,35.40,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,2,33,0,0,0,0,0,0,0,0,0,0,NULL,0011H00001Ndd3vQAB,NULL,005A0000004xyJCIAY,NULL
IN PREVIOUS,CSG,CENTER,300 TO 400,1,523320,PORTLAND,NULL,8778107015328160,97402,SMB:1  MID:0  NAT:0  UNKN:0,THE BALLPIT INCORPORATED,NULL,"BALLPIT INCORPORATED,THE",317.50,317.50,69.95,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,69.950,0.000000,0.00,69.95,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,2,14,0,0,0,0,0,0,0,0,0,0,NULL,0011H00001nQMAUQA4,NULL,0051H000008hqXWQAY,NULL
CURRENT,CSG,CENTER,100 TO 200,1,560301,CALIFORNIA,NULL,8155600281875875,95928,SMB:0  MID:0  NAT:0  UNKN:1,NULL,NULL,"RESPIRATORY,NORCAL",128.27,NULL,128.27,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,128.270,0.000000,94.84,33.43,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,2,7,0,0,0,0,0,0,0,0,0,0,NULL,0011H00001x7WftQAE,NULL,005A0000003OoCjIAK,NULL
IN PREVIOUS,CSG,CENTER,400 TO 500,1,52332,CALIFORNIA,NULL,8155100130433463,95035,SMB:1  MID:0  NAT:0  UNKN:0,K&Y GROUP,NULL,"K AND Y GROUPS INC,*",476.67,476.67,236.45,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,236.450,0.000000,83.35,59.95,93.15,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,3,98,0,0,0,0,0,0,0,0,0,0,NULL,001A000000roTmVIAU,NULL,005A0000002F2KaIAK,NULL
IN PREVIOUS,CSG,AM1,500 TO 750,1,474534,CALIFORNIA,NULL,8155200520454648,94103,SMB:1  MID:0  NAT:0  UNKN:0,ERIC BERMAN,NULL,"BAR,TEMPEST",545.17,545.17,373.30,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,373.300,0.000000,98.35,249.95,25.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,5,299,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL
IN PREVIOUS,CSG,CENTER,400 TO 500,1,507666,HOUSTON,NULL,8777701821259428,77551,SMB:1  MID:0  NAT:0  UNKN:0,AGUIAR PROPERTIES 3 LLC,NULL,"PROPERTIES 3 LLC,AGUIAR",470.58,470.58,158.30,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,158.300,0.000000,43.40,114.90,0.00,39.95,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,2,19,0,0,0,0,0,0,0,0,0,0,NULL,0011H00001d5fpFQAQ,NULL,005A0000004NsdjIAC,NULL
IN PREVIOUS,CSG,AM1,500 TO 750,2,414353,PORTLAND,NULL,8778102114499020,97210,SMB:2  MID:0  NAT:0  UNKN:0,CARDON SALON,NULL,"SALON,CARBON",559.75,559.75,241.60,2,0,2,0,0,0,0,0,2,2,0,0,0,0,2,2,0,2,0,0,2,2,0,0,0,0,241.600,0.000000,156.70,84.90,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,8,38,0,0,0,0,0,0,0,0,0,0,NULL,0011H00001ZKa0vQAD,NULL,0051H000008FAU9QAO,NULL
IN PREVIOUS,CSG,CENTER,100 TO 200,1,467706,MOUNTAIN WEST,NULL,8497101661760289,80229,SMB:1  MID:0  NAT:0  UNKN:0,PLUNGE PLUS LLC,NULL,"CO,PLUNGE PLUS",153.17,153.17,145.20,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,145.200,0.000000,43.40,59.95,41.85,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,1,18,0,0,0,0,0,0,0,0,0,0,NULL,0011H00001kKEsCQAW,NULL,00512000006wKC3AAM,NULL
IN PREVIOUS,CSG,CENTER,100 TO 200,1,156791,SEATTLE,NULL,8498340270565981,98065,SMB:1  MID:0  NAT:0  UNKN:0,CAROUSEL,NULL,"CAROUSEL,WA",147.08,147.08,133.30,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,133.300,0.000000,73.35,59.95,0.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,1,26,0,0,0,0,0,0,0,0,0,0,NULL,0011H00001Q3x8wQAB,NULL,00512000006wYJwAAM,NULL
IN PREVIOUS,CSG,CENTER,300 TO 400,1,166429,CALIFORNIA,NULL,8155400170932717,94583,SMB:1  MID:0  NAT:0  UNKN:0,KEN BEGUN,NULL,"BEGUN,KEN",334.67,334.67,286.20,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,286.200,0.000000,123.25,119.95,43.00,0.00,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,2,39,0,0,0,0,0,0,0,0,0,0,NULL,0011200001LUVvGAAX,NULL,00512000006HS4KAAW,NULL
